gene_symbol,study
RHOBTB2,Sheinfeldt2012
TNFRSF10B,Sheinfeldt2012
TNFRSF10C,Sheinfeldt2012
PGM2,Sheinfeldt2012
TBC1D1,Sheinfeldt2012
PTTG2,Sheinfeldt2012
PHB,Sheinfeldt2012
NGFR,Sheinfeldt2012
PHF20L1,Sheinfeldt2012
LRRC6,Sheinfeldt2012
TMEM71,Sheinfeldt2012
PIK3CG,Sheinfeldt2012
PITPNC1,Sheinfeldt2012
NOL11,Sheinfeldt2012
PIWIL4,Sheinfeldt2012
FUT4,Sheinfeldt2012
ANKRD49,Sheinfeldt2012
MRE11A,Sheinfeldt2012
GPR83,Sheinfeldt2012
PLCXD3,Sheinfeldt2012
PLD5,Sheinfeldt2012
PLEKHA8P1,Sheinfeldt2012
ANO6,Sheinfeldt2012
POLB,Sheinfeldt2012
PPP1R12B,Sheinfeldt2012
SYT2,Sheinfeldt2012
PRKAG2,Sheinfeldt2012
GALNTL5,Sheinfeldt2012
PRKCZ,Sheinfeldt2012
C1orf86,Sheinfeldt2012
SKI,Sheinfeldt2012
PRKG1,Sheinfeldt2012
PRNP,Sheinfeldt2012
PRND,Sheinfeldt2012
PRNT,Sheinfeldt2012
RASSF2,Sheinfeldt2012
PROX1,Sheinfeldt2012
PRR16,Sheinfeldt2012
PSG1,Sheinfeldt2012
PSG6,Sheinfeldt2012
PSG7,Sheinfeldt2012
PSG11,Sheinfeldt2012
PTBP2,Sheinfeldt2012
PTMA,Sheinfeldt2012
PDE6D,Sheinfeldt2012
COPS7B,Sheinfeldt2012
PTPRG,Sheinfeldt2012
PTPRT,Sheinfeldt2012
PVRL1,Sheinfeldt2012
PYCR1,Sheinfeldt2012
MYADML2,Sheinfeldt2012
NOTUM,Sheinfeldt2012
ASPSCR1,Sheinfeldt2012
STRA13,Sheinfeldt2012
LRRC45,Sheinfeldt2012
RAC3,Sheinfeldt2012
DCXR,Sheinfeldt2012
RFNG,Sheinfeldt2012
GPS1,Sheinfeldt2012
DUS1L,Sheinfeldt2012
FASN,Sheinfeldt2012
CCDC57,Sheinfeldt2012
RAB20,Sheinfeldt2012
CARKD,Sheinfeldt2012
CARS2,Sheinfeldt2012
ING1,Sheinfeldt2012
RAPGEF4,Sheinfeldt2012
RASSF3,Sheinfeldt2012
GNS,Sheinfeldt2012
RBFOX3,Sheinfeldt2012
RBM17,Sheinfeldt2012
RGS9,Sheinfeldt2012
RNASEL,Sheinfeldt2012
RGS16,Sheinfeldt2012
RGS8,Sheinfeldt2012
RNF183,Sheinfeldt2012
WDR31,Sheinfeldt2012
BSPRY,Sheinfeldt2012
HDHD3,Sheinfeldt2012
ALAD,Sheinfeldt2012
POLE3,Sheinfeldt2012
C9orf43,Sheinfeldt2012
RGS3,Sheinfeldt2012
RNF19A,Sheinfeldt2012
ROBO1,Sheinfeldt2012
OAS1,Sheinfeldt2012
MAP4K1,Sheinfeldt2012
EIF3K,Sheinfeldt2012
SAAL1,Sheinfeldt2012
MRGPRX3,Sheinfeldt2012
MRGPRX4,Sheinfeldt2012
SAA4,Sheinfeldt2012
SAA2,Sheinfeldt2012
SAA1,Sheinfeldt2012
HPS5,Sheinfeldt2012
SASH1,Sheinfeldt2012
SEPW1,Sheinfeldt2012
TPRX1,Sheinfeldt2012
CRX,Sheinfeldt2012
RAB11FIP5,Sheinfeldt2012
SGMS1,Sheinfeldt2012
ASAH2B,Sheinfeldt2012
A1CF,Sheinfeldt2012
SH3BP4,Sheinfeldt2012
SH3YL1,Sheinfeldt2012
ACP1,Sheinfeldt2012
FAM150B,Sheinfeldt2012
SIK1,Sheinfeldt2012
CCDC6,Sheinfeldt2012
SLC25A24,Sheinfeldt2012
SLC25A36,Sheinfeldt2012
SLC30A10,Sheinfeldt2012
SLC38A11,Sheinfeldt2012
SLC38A4,Sheinfeldt2012
SLC38A9,Sheinfeldt2012
DDX4,Sheinfeldt2012
IL31RA,Sheinfeldt2012
IL6ST,Sheinfeldt2012
SLC39A12,Sheinfeldt2012
SLC6A12,Sheinfeldt2012
IQSEC3,Sheinfeldt2012
SLC6A13,Sheinfeldt2012
KDM5A,Sheinfeldt2012
SLC7A11,Sheinfeldt2012
SOX12,Sheinfeldt2012
ZCCHC3,Sheinfeldt2012
TRIB3,Sheinfeldt2012
NRSN2,Sheinfeldt2012
DEFB132,Sheinfeldt2012
C20orf96,Sheinfeldt2012
DEFB129,Sheinfeldt2012
RBCK1,Sheinfeldt2012
SS18,Sheinfeldt2012
ST3GAL1,Sheinfeldt2012
STAU2,Sheinfeldt2012
SULF1,Sheinfeldt2012
SLCO5A1,Sheinfeldt2012
SUN2,Sheinfeldt2012
DNAL4,Sheinfeldt2012
NPTXR,Sheinfeldt2012
CBX6,Sheinfeldt2012
APOBEC3A,Sheinfeldt2012
APOBEC3B,Sheinfeldt2012
SUSD5,Sheinfeldt2012
FBXL2,Sheinfeldt2012
SV2C,Sheinfeldt2012
IQGAP2,Sheinfeldt2012
SYBU,Sheinfeldt2012
TBX18,Sheinfeldt2012
TCERG1,Sheinfeldt2012
GPR151,Sheinfeldt2012
TCF7L1,Sheinfeldt2012
TGOLN2,Sheinfeldt2012
RETSAT,Sheinfeldt2012
ELMOD3,Sheinfeldt2012
CAPG,Sheinfeldt2012
TG,Sheinfeldt2012
SLA,Sheinfeldt2012
TLE4,Sheinfeldt2012
TLR2,Sheinfeldt2012
RNF175,Sheinfeldt2012
SFRP2,Sheinfeldt2012
TM4SF18,Sheinfeldt2012
TM4SF1,Sheinfeldt2012
TMEM120B,Sheinfeldt2012
RHOF,Sheinfeldt2012
SETD1B,Sheinfeldt2012
HPD,Sheinfeldt2012
TMEM123,Sheinfeldt2012
MMP7,Sheinfeldt2012
MMP20,Sheinfeldt2012
TMEM132D,Sheinfeldt2012
TMEM192,Sheinfeldt2012
KLHL2,Sheinfeldt2012
TNFRSF21,Sheinfeldt2012
TSPAN33,Sheinfeldt2012
SMO,Sheinfeldt2012
AHCYL2,Sheinfeldt2012
TP53BP2,Sheinfeldt2012
TPTE2,Sheinfeldt2012
TRA2A,Sheinfeldt2012
CCDC126,Sheinfeldt2012
TRIM5,Sheinfeldt2012
TRIM22,Sheinfeldt2012
OR56B1,Sheinfeldt2012
OR52N4,Sheinfeldt2012
OR52N5,Sheinfeldt2012
OR52N1,Sheinfeldt2012
OR52N2,Sheinfeldt2012
OR52E6,Sheinfeldt2012
OR52E8,Sheinfeldt2012
OR52E4,Sheinfeldt2012
TRPM3,Sheinfeldt2012
TSHZ2,Sheinfeldt2012
TSPAN18,Sheinfeldt2012
TP53I11,Sheinfeldt2012
TTC23L,Sheinfeldt2012
RAD1,Sheinfeldt2012
BRIX1,Sheinfeldt2012
DNAJC21,Sheinfeldt2012
AGXT2,Sheinfeldt2012
PRLR,Sheinfeldt2012
UBE2T,Sheinfeldt2012
UBL3,Sheinfeldt2012
UCHL5,Sheinfeldt2012
TROVE2,Sheinfeldt2012
GLRX2,Sheinfeldt2012
B3GALT2,Sheinfeldt2012
VDAC1,Sheinfeldt2012
TCF7,Sheinfeldt2012
SKP1,Sheinfeldt2012
VLDLR,Sheinfeldt2012
WDR20,Sheinfeldt2012
RAGE,Sheinfeldt2012
ZNF839,Sheinfeldt2012
CINP,Sheinfeldt2012
WDR47,Sheinfeldt2012
TAF13,Sheinfeldt2012
TMEM167B,Sheinfeldt2012
C1orf194,Sheinfeldt2012
KIAA1324,Sheinfeldt2012
WNT7A,Sheinfeldt2012
TPRXL,Sheinfeldt2012
WNT9B,Sheinfeldt2012
GOSR2,Sheinfeldt2012
RPRML,Sheinfeldt2012
WTAP,Sheinfeldt2012
ACAT2,Sheinfeldt2012
TCP1,Sheinfeldt2012
MRPL18,Sheinfeldt2012
PNLDC1,Sheinfeldt2012
MAS1,Sheinfeldt2012
SOD2,Sheinfeldt2012
FSTL4,Sheinfeldt2012
ZMYM6,Sheinfeldt2012
ZMYM1,Sheinfeldt2012
ZNF236,Sheinfeldt2012
MBP,Sheinfeldt2012
ZNF426,Sheinfeldt2012
ZNF121,Sheinfeldt2012
ZNF561,Sheinfeldt2012
ZNF679,Sheinfeldt2012
ZNF716,Sheinfeldt2012
ZNF784,Sheinfeldt2012
ZNF580,Sheinfeldt2012
ZNF581,Sheinfeldt2012
CCDC106,Sheinfeldt2012
U2AF2,Sheinfeldt2012
EPN1,Sheinfeldt2012
NLRP9,Sheinfeldt2012
RFPL4A,Sheinfeldt2012
NLRP11,Sheinfeldt2012
ZNRF4,Sheinfeldt2012
SAFB2,Sheinfeldt2012
ZZEF1,Sheinfeldt2012
ANKFY1,Sheinfeldt2012
CYB5D2,Sheinfeldt2012
SNORD45C,Sheinfeldt2012
SNORD45A,Sheinfeldt2012
SNORD45B,Sheinfeldt2012
ARHGEF19-AS1,Sheinfeldt2012
MT1XP1,Sheinfeldt2012
BMS1P4,Sheinfeldt2012
MIR1255B2,Sheinfeldt2012
RNU7-38P,Sheinfeldt2012
C14orf118,Sheinfeldt2012
C16orf13,Sheinfeldt2012
C9orf133,Sheinfeldt2012
CBX3P9,Sheinfeldt2012
KRT18P22,Sheinfeldt2012
CKAP5,Sheinfeldt2012
LRP4,Sheinfeldt2012
C11orf49,Sheinfeldt2012
COPS8,Sheinfeldt2012
COX5BP7,Sheinfeldt2012
FUNDC2P4,Sheinfeldt2012
EMBP1,Sheinfeldt2012
RNU5B-3P,Sheinfeldt2012
SELRC1,Sheinfeldt2012
RN5S135,Sheinfeldt2012
PRSS57,Sheinfeldt2012
FTLP17,Sheinfeldt2012
GAPDHP45,Sheinfeldt2012
MIR34A,Sheinfeldt2012
IGFLR1,Sheinfeldt2012
HMGB1P19,Sheinfeldt2012
RNY4P5,Sheinfeldt2012
HMGB1P22,Sheinfeldt2012
HMGB1P24,Sheinfeldt2012
HMGN2P34,Sheinfeldt2012
IRF2,Sheinfeldt2012
KCP,Sheinfeldt2012
SMYD3,Sheinfeldt2012
MIR129-1,Sheinfeldt2012
RNU7-27P,Sheinfeldt2012
LINC00239,Sheinfeldt2012
LINC00311,Sheinfeldt2012
LINC00449,Sheinfeldt2012
CFL1P8,Sheinfeldt2012
RNY3P6,Sheinfeldt2012
LONRF2P2,Sheinfeldt2012
LINC00388,Sheinfeldt2012
FEM1AP4,Sheinfeldt2012
LINC00387,Sheinfeldt2012
TERF1P5,Sheinfeldt2012
FAM207BP,Sheinfeldt2012
GXYLT1P1,Sheinfeldt2012
CNN2P12,Sheinfeldt2012
ZNF965P,Sheinfeldt2012
LINC00417,Sheinfeldt2012
CYP4F34P,Sheinfeldt2012
SNX18P26,Sheinfeldt2012
MARK2P11,Sheinfeldt2012
MCU,Sheinfeldt2012
MRPL22P1,Sheinfeldt2012
RPL7AP31,Sheinfeldt2012
MTND2P19,Sheinfeldt2012
MTND1P27,Sheinfeldt2012
MTND6P11,Sheinfeldt2012
MTND5P24,Sheinfeldt2012
MTND4P22,Sheinfeldt2012
MTND3P9,Sheinfeldt2012
MTND6P17,Sheinfeldt2012
MTND5P9,Sheinfeldt2012
MTND4P8,Sheinfeldt2012
MTND3P3,Sheinfeldt2012
RPSAP55,Sheinfeldt2012
OR2M1P,Sheinfeldt2012
OR7E100P,Sheinfeldt2012
C2orf70,Sheinfeldt2012
CIB4,Sheinfeldt2012
KCNK3,Sheinfeldt2012
PAPPA-AS1,Sheinfeldt2012
MIR548F1,Sheinfeldt2012
PMCHL1,Sheinfeldt2012
PPIAP10,Sheinfeldt2012
PPIAP21,Sheinfeldt2012
PPP1R21,Sheinfeldt2012
PSMD4P1,Sheinfeldt2012
RANP5,Sheinfeldt2012
SCARNA2,Sheinfeldt2012
MIR548C,Sheinfeldt2012
RN5S117,Sheinfeldt2012
RPL21P54,Sheinfeldt2012
RPL29P30,Sheinfeldt2012
RPS18P9,Sheinfeldt2012
RPS2P32,Sheinfeldt2012
SDHDP6,Sheinfeldt2012
RN5S111,Sheinfeldt2012
SNRNP40,Sheinfeldt2012
ZCCHC17,Sheinfeldt2012
FABP3,Sheinfeldt2012
SERINC2,Sheinfeldt2012
SNORA20,Sheinfeldt2012
SNORA29,Sheinfeldt2012
TAS2R16,Sheinfeldt2012
SLC13A1,Sheinfeldt2012
TPI1P2,Sheinfeldt2012
MIR204,Sheinfeldt2012
UBA52P5,Sheinfeldt2012
DUTP2,Sheinfeldt2012
ZHX1-C8ORF76,Sheinfeldt2012
MIR548D1,Sheinfeldt2012
TRNAF14P,Sheinfeldt2012
MIR1278,Sheinfeldt2012
RNU6ATAC3P,Sheinfeldt2012
ZMYM6NB,Sheinfeldt2012
ABCA9-AS1,Sheinfeldt2012
NME9,Sheinfeldt2012
BMPR1APS1,Sheinfeldt2012
SNRPGP7,Sheinfeldt2012
BRK1P2,Sheinfeldt2012
LINC00379,Sheinfeldt2012
ANKRD63,Sheinfeldt2012
C13orf44-AS1,Sheinfeldt2012
C13orf44-IT1,Sheinfeldt2012
LINC00356,Sheinfeldt2012
C13orf44,Sheinfeldt2012
C8orf75,Sheinfeldt2012
CALCP,Sheinfeldt2012
CCDC146,Sheinfeldt2012
GCNT1P5,Sheinfeldt2012
CERS6,Sheinfeldt2012
CHL1-AS2,Sheinfeldt2012
RPS8P6,Sheinfeldt2012
CYP51P3,Sheinfeldt2012
DYSF,Sheinfeldt2012
EEF1A1P10,Sheinfeldt2012
EGFEM1P,Sheinfeldt2012
MIR551B,Sheinfeldt2012
ENOX1-AS1,Sheinfeldt2012
CCDC164,Sheinfeldt2012
FAM149B2,Sheinfeldt2012
RPS7P10,Sheinfeldt2012
FOXB1,Sheinfeldt2012
FTH1P26,Sheinfeldt2012
FTLP19,Sheinfeldt2012
GLULP3,Sheinfeldt2012
MIR1266,Sheinfeldt2012
GRM7-AS1,Sheinfeldt2012
HIGD1AP12,Sheinfeldt2012
PGCP1,Sheinfeldt2012
HIGD1AP5,Sheinfeldt2012
SAA3P,Sheinfeldt2012
SAA2-SAA4,Sheinfeldt2012
ST13P5,Sheinfeldt2012
HMGB1P5,Sheinfeldt2012
HMGN1P32,Sheinfeldt2012
SEPT7P8,Sheinfeldt2012
MIR512-1,Sheinfeldt2012
MIR512-2,Sheinfeldt2012
MIR1323,Sheinfeldt2012
MIR498,Sheinfeldt2012
MIR520E,Sheinfeldt2012
MIR515-1,Sheinfeldt2012
MIR519E,Sheinfeldt2012
MIR520F,Sheinfeldt2012
MIR515-2,Sheinfeldt2012
MIR519C,Sheinfeldt2012
MIR1283-1,Sheinfeldt2012
MIR520A,Sheinfeldt2012
MIR526B,Sheinfeldt2012
MIR519B,Sheinfeldt2012
MIR525,Sheinfeldt2012
MIR523,Sheinfeldt2012
MIR518F,Sheinfeldt2012
MIR520B,Sheinfeldt2012
MIR518B,Sheinfeldt2012
MIR526A1,Sheinfeldt2012
MIR520C,Sheinfeldt2012
MIR518C,Sheinfeldt2012
MIR524,Sheinfeldt2012
MIR517A,Sheinfeldt2012
MIR519D,Sheinfeldt2012
MIR521-2,Sheinfeldt2012
MIR520D,Sheinfeldt2012
MIR517B,Sheinfeldt2012
MIR520G,Sheinfeldt2012
MIR516B2,Sheinfeldt2012
MIR526A2,Sheinfeldt2012
MIR518E,Sheinfeldt2012
MIR518A1,Sheinfeldt2012
MIR518D,Sheinfeldt2012
MIR516B1,Sheinfeldt2012
MIR518A2,Sheinfeldt2012
MIR517C,Sheinfeldt2012
MIR520H,Sheinfeldt2012
MIR521-1,Sheinfeldt2012
MIR522,Sheinfeldt2012
MIR519A1,Sheinfeldt2012
MIR527,Sheinfeldt2012
MIR516A1,Sheinfeldt2012
MIR1283-2,Sheinfeldt2012
MIR516A2,Sheinfeldt2012
MIR519A2,Sheinfeldt2012
MIR371,Sheinfeldt2012
MIR372,Sheinfeldt2012
MIR373,Sheinfeldt2012
HNRNPA1P23,Sheinfeldt2012
HPRTP4,Sheinfeldt2012
HPRTP3,Sheinfeldt2012
VSTM5,Sheinfeldt2012
HSPD1P1,Sheinfeldt2012
IFIT6P,Sheinfeldt2012
LRRC72,Sheinfeldt2012
ITCH-IT1,Sheinfeldt2012
FDX1P1,Sheinfeldt2012
MIR644,Sheinfeldt2012
ATP5G1P8,Sheinfeldt2012
KLRD1,Sheinfeldt2012
KLRK1,Sheinfeldt2012
KLRC4,Sheinfeldt2012
KLRC3,Sheinfeldt2012
KLRC2,Sheinfeldt2012
KLRC1,Sheinfeldt2012
KRT8P42,Sheinfeldt2012
CHCHD2P4,Sheinfeldt2012
KRT8P7,Sheinfeldt2012
LINC00167,Sheinfeldt2012
TCEB2P2,Sheinfeldt2012
RPL34P21,Sheinfeldt2012
LINC00290,Sheinfeldt2012
LINC00322,Sheinfeldt2012
LINC00319,Sheinfeldt2012
LINC00313,Sheinfeldt2012
MX2,Sheinfeldt2012
LINC00323,Sheinfeldt2012
BACE2-IT1,Sheinfeldt2012
TMPRSS3,Sheinfeldt2012
LINC00331,Sheinfeldt2012
HSPD1P8,Sheinfeldt2012
CCT5P2,Sheinfeldt2012
LINC00478,Sheinfeldt2012
DNAAF1,Sheinfeldt2012
RN5S151,Sheinfeldt2012
MRPL50P4,Sheinfeldt2012
MSNP1,Sheinfeldt2012
MTND2P7,Sheinfeldt2012
MTND4P25,Sheinfeldt2012
MTND5P27,Sheinfeldt2012
MTND6P7,Sheinfeldt2012
RN5S137,Sheinfeldt2012
MYO16,Sheinfeldt2012
NAV2-AS5,Sheinfeldt2012
NAV2-AS4,Sheinfeldt2012
NDUFB11P1,Sheinfeldt2012
PGAM1P9,Sheinfeldt2012
NPM1P22,Sheinfeldt2012
OR7E111P,Sheinfeldt2012
OR7E33P,Sheinfeldt2012
NTM-IT2,Sheinfeldt2012
TLK1P1,Sheinfeldt2012
OR1H1P,Sheinfeldt2012
OR56B2P,Sheinfeldt2012
OR52N3P,Sheinfeldt2012
OR52E7P,Sheinfeldt2012
OR7E25P,Sheinfeldt2012
OR7H1P,Sheinfeldt2012
ZNF559-ZNF177,Sheinfeldt2012
PABPC4L,Sheinfeldt2012
TRNAL44P,Sheinfeldt2012
RPS3AP42,Sheinfeldt2012
PHKG1P4,Sheinfeldt2012
MTND4P4,Sheinfeldt2012
MTND5P6,Sheinfeldt2012
GUSBP10,Sheinfeldt2012
MTND1P4,Sheinfeldt2012
MTND2P6,Sheinfeldt2012
MTND4P5,Sheinfeldt2012
MTND5P7,Sheinfeldt2012
GUSBP12,Sheinfeldt2012
TRNAQ52P,Sheinfeldt2012
SNORA38B,Sheinfeldt2012
PROSP,Sheinfeldt2012
OR1D5,Sheinfeldt2012
RGSL1,Sheinfeldt2012
ZNF815,Sheinfeldt2012
MIR1302-1,Sheinfeldt2012
RPL13AP25,Sheinfeldt2012
RPL23AP80,Sheinfeldt2012
TPRX2P,Sheinfeldt2012
RPL35P1,Sheinfeldt2012
RPL7AP8,Sheinfeldt2012
RPLP0P1,Sheinfeldt2012
RPS15AP3,Sheinfeldt2012
RPS27P1,Sheinfeldt2012
RPSAP52,Sheinfeldt2012
RN5S76,Sheinfeldt2012
SNHG14,Sheinfeldt2012
SNORD107,Sheinfeldt2012
SNORD64,Sheinfeldt2012
SNORD108,Sheinfeldt2012
SNORD109A,Sheinfeldt2012
SNORD116-1,Sheinfeldt2012
SNORD116-2,Sheinfeldt2012
SNORD116-3,Sheinfeldt2012
SNORD116-4,Sheinfeldt2012
SNORD116-5,Sheinfeldt2012
SNORD116-6,Sheinfeldt2012
SNORD116-7,Sheinfeldt2012
SNORD116-8,Sheinfeldt2012
SNORD116-9,Sheinfeldt2012
SNORD116-10,Sheinfeldt2012
SNORD116-11,Sheinfeldt2012
SNORD116-12,Sheinfeldt2012
SNORD116-13,Sheinfeldt2012
SNORD116-14,Sheinfeldt2012
SNORD116-15,Sheinfeldt2012
SNORD116-16,Sheinfeldt2012
SNORD116-17,Sheinfeldt2012
SNORD116-18,Sheinfeldt2012
SNORD116-19,Sheinfeldt2012
SNORD116-20,Sheinfeldt2012
SNORD116-21,Sheinfeldt2012
SNORD116-22,Sheinfeldt2012
SNORD116-23,Sheinfeldt2012
SNORD116-24,Sheinfeldt2012
SNORD116-25,Sheinfeldt2012
SNORD116-26,Sheinfeldt2012
SNORD116-27,Sheinfeldt2012
SNORD116-28,Sheinfeldt2012
SNORD116-29,Sheinfeldt2012
SNORD116-30,Sheinfeldt2012
SNORD115-1,Sheinfeldt2012
SNORD115-2,Sheinfeldt2012
SNORD115-3,Sheinfeldt2012
SRSF1P1,Sheinfeldt2012
STEAP2-AS1,Sheinfeldt2012
DPY19L2P4,Sheinfeldt2012
STK33P1,Sheinfeldt2012
TARDBPP2,Sheinfeldt2012
TCEB2P4,Sheinfeldt2012
TIMM8BP1,Sheinfeldt2012
LINC00297,Sheinfeldt2012
TLK2P1,Sheinfeldt2012
CPHL1P,Sheinfeldt2012
TM4SF1-AS1,Sheinfeldt2012
TRNAI29P,Sheinfeldt2012
TMEM14D,Sheinfeldt2012
TPI1P3,Sheinfeldt2012
FRK,Sheinfeldt2012
TRAV21,Sheinfeldt2012
TRAV22,Sheinfeldt2012
TRAV23DV6,Sheinfeldt2012
TRDV1,Sheinfeldt2012
TRAV24,Sheinfeldt2012
TRAV25,Sheinfeldt2012
TRAV26-1,Sheinfeldt2012
TRAV8-7,Sheinfeldt2012
TRAV27,Sheinfeldt2012
TRAV28,Sheinfeldt2012
TRAV29DV5,Sheinfeldt2012
TRAV30,Sheinfeldt2012
TRAV31,Sheinfeldt2012
TRAV32,Sheinfeldt2012
TRAV33,Sheinfeldt2012
TRAV26-2,Sheinfeldt2012
TRAV34,Sheinfeldt2012
TRAV35,Sheinfeldt2012
TRAV36DV7,Sheinfeldt2012
TUBBP2,Sheinfeldt2012
OR7E36P,Sheinfeldt2012
OR7E155P,Sheinfeldt2012
OR7E37P,Sheinfeldt2012
RNU6-57,Sheinfeldt2012
VENTXP7,Sheinfeldt2012
MOK,Sheinfeldt2012
LINC00242,Sheinfeldt2012
C6orf208,Sheinfeldt2012
VN1R20P,Sheinfeldt2012
ZNF407,Sheinfeldt2012
ZADH2,Sheinfeldt2012
TSHZ1,Sheinfeldt2012
CNTP2,Sheinfeldt2012
DJC13,Sheinfeldt2012
NCR00322,Sheinfeldt2012
ABCB10,Sheinfeldt2012
TAF5L,Sheinfeldt2012
URB2,Sheinfeldt2012
HMGN2P19,Sheinfeldt2012
HMGB1P26,Sheinfeldt2012
ADAM28,Sheinfeldt2012
ADAMDEC1,Sheinfeldt2012
ADCY8,Sheinfeldt2012
ADRA1B,Sheinfeldt2012
TTC1,Sheinfeldt2012
GAPDHP40,Sheinfeldt2012
PWWP2A,Sheinfeldt2012
AP2S1,Sheinfeldt2012
GRLF1,Sheinfeldt2012
ARHGEF26,Sheinfeldt2012
DHX36,Sheinfeldt2012
GPR149,Sheinfeldt2012
DDX50P2,Sheinfeldt2012
C16orf46,Sheinfeldt2012
GCSH,Sheinfeldt2012
PKD1L2,Sheinfeldt2012
BCMO1,Sheinfeldt2012
C1GALT1,Sheinfeldt2012
COL28A1,Sheinfeldt2012
C7orf42,Sheinfeldt2012
SBDS,Sheinfeldt2012
TYW1,Sheinfeldt2012
C9orf93,Sheinfeldt2012
CAMSAP1L1,Sheinfeldt2012
GPR25,Sheinfeldt2012
C1orf106,Sheinfeldt2012
RPL34P1,Sheinfeldt2012
C1orf81,Sheinfeldt2012
CCDC51,Sheinfeldt2012
CCDC72,Sheinfeldt2012
ATRIP,Sheinfeldt2012
TREX1,Sheinfeldt2012
SHISA5,Sheinfeldt2012
PFKFB4,Sheinfeldt2012
FBXW12,Sheinfeldt2012
PLXNB1,Sheinfeldt2012
CCDC83,Sheinfeldt2012
PICALM,Sheinfeldt2012
SYTL2,Sheinfeldt2012
CDH9,Sheinfeldt2012
CDK6,Sheinfeldt2012
CLCA4,Sheinfeldt2012
SH3GLB1,Sheinfeldt2012
CLCA3P,Sheinfeldt2012
COL4A1,Sheinfeldt2012
COL4A2,Sheinfeldt2012
DCAF5,Sheinfeldt2012
EXD2,Sheinfeldt2012
DDX50P1,Sheinfeldt2012
DPY30,Sheinfeldt2012
MEMO1,Sheinfeldt2012
SPAST,Sheinfeldt2012
SLC30A6,Sheinfeldt2012
NLRC4,Sheinfeldt2012
YIPF4,Sheinfeldt2012
DPF3,Sheinfeldt2012
DPP8,Sheinfeldt2012
PTPLAD1,Sheinfeldt2012
C15orf44,Sheinfeldt2012
SLC24A1,Sheinfeldt2012
DENND4A,Sheinfeldt2012
DTNA,Sheinfeldt2012
EEF1A1P14,Sheinfeldt2012
EIF4E2P1,Sheinfeldt2012
MRPS11P1,Sheinfeldt2012
RALGAPA2,Sheinfeldt2012
EMP2,Sheinfeldt2012
TEKT5,Sheinfeldt2012
NUBP1,Sheinfeldt2012
FAM18A,Sheinfeldt2012
EPB41,Sheinfeldt2012
TMEM200B,Sheinfeldt2012
SRSF4,Sheinfeldt2012
MECR,Sheinfeldt2012
PTPRU,Sheinfeldt2012
FAM60A,Sheinfeldt2012
FAM98B,Sheinfeldt2012
RASGRP1,Sheinfeldt2012
UBP1,Sheinfeldt2012
FNBP1L,Sheinfeldt2012
BCAR3,Sheinfeldt2012
FNDC3A,Sheinfeldt2012
RAD17P2,Sheinfeldt2012
GALM,Sheinfeldt2012
SRSF7,Sheinfeldt2012
GEMIN6,Sheinfeldt2012
DHX57,Sheinfeldt2012
MORN2,Sheinfeldt2012
ARHGEF33,Sheinfeldt2012
TTC39DP,Sheinfeldt2012
ASS1P2,Sheinfeldt2012
GSK3B,Sheinfeldt2012
GSTM3P1,Sheinfeldt2012
XRN2,Sheinfeldt2012
NKX2-4,Sheinfeldt2012
NKX2-2,Sheinfeldt2012
GTF2H1,Sheinfeldt2012
LDHA,Sheinfeldt2012
LDHC,Sheinfeldt2012
HLA-A,Sheinfeldt2012
ZNRD1,Sheinfeldt2012
PPP1R11,Sheinfeldt2012
RNF39,Sheinfeldt2012
TRIM31,Sheinfeldt2012
HCG4B,Sheinfeldt2012
HLA-K,Sheinfeldt2012
HLA-U,Sheinfeldt2012
HCG4P5,Sheinfeldt2012
HLA-W,Sheinfeldt2012
MICD,Sheinfeldt2012
HCG9,Sheinfeldt2012
DDX39BP2,Sheinfeldt2012
MCCD1P2,Sheinfeldt2012
ZNRD1-AS1,Sheinfeldt2012
HCG4P3,Sheinfeldt2012
HLA-J,Sheinfeldt2012
ETF1P1,Sheinfeldt2012
HOOK3,Sheinfeldt2012
FNTA,Sheinfeldt2012
RNF170,Sheinfeldt2012
HSP90B1,Sheinfeldt2012
C12orf73,Sheinfeldt2012
TDG,Sheinfeldt2012
GLT8D2,Sheinfeldt2012
HCFC2,Sheinfeldt2012
ILDR2,Sheinfeldt2012
MAEL,Sheinfeldt2012
GPA33,Sheinfeldt2012
DUSP27,Sheinfeldt2012
ISCUP1,Sheinfeldt2012
ITGB8,Sheinfeldt2012
KLHDC1,Sheinfeldt2012
KLHDC2,Sheinfeldt2012
NEMF,Sheinfeldt2012
ARF6,Sheinfeldt2012
KRT18P42,Sheinfeldt2012
LYRM2,Sheinfeldt2012
MDN1,Sheinfeldt2012
ANKRD6,Sheinfeldt2012
MAN2A1,Sheinfeldt2012
MAP4,Sheinfeldt2012
MESTP4,Sheinfeldt2012
METTL19,Sheinfeldt2012
ACOX3,Sheinfeldt2012
GPR78,Sheinfeldt2012
MIR1203,Sheinfeldt2012
NFE2L1,Sheinfeldt2012
CBX1,Sheinfeldt2012
SNX11,Sheinfeldt2012
SKAP1,Sheinfeldt2012
MIR130B,Sheinfeldt2012
MIR301B,Sheinfeldt2012
UBE2L3,Sheinfeldt2012
YDJC,Sheinfeldt2012
CCDC116,Sheinfeldt2012
SDF2L1,Sheinfeldt2012
PPIL2,Sheinfeldt2012
YPEL1,Sheinfeldt2012
MAPK1,Sheinfeldt2012
