gene_symbol,occurrence,studies
ZNF570,1,Alkorta.Aranburu2012
AEBP1,1,Alkorta.Aranburu2012
C4orf6,1,Alkorta.Aranburu2012
C9orf41,1,Alkorta.Aranburu2012
CCRL2,1,Alkorta.Aranburu2012
FBS1,1,Alkorta.Aranburu2012
HSPB2,1,Alkorta.Aranburu2012
KRTHA2,1,Alkorta.Aranburu2012
MORN1,1,Alkorta.Aranburu2012
PDCD1,1,Alkorta.Aranburu2012
PDE4A,1,Alkorta.Aranburu2012
PRSS8,1,Alkorta.Aranburu2012
RALGPS1,1,Alkorta.Aranburu2012
RAP1GA1,1,Alkorta.Aranburu2012
RBP3,1,Alkorta.Aranburu2012
SUMO1,1,Alkorta.Aranburu2012
SYNGR1,1,Alkorta.Aranburu2012
TCN2,1,Alkorta.Aranburu2012
TLR6,1,Alkorta.Aranburu2012
UNQ2446,1,Alkorta.Aranburu2012
VPS26,1,Alkorta.Aranburu2012
HSPBAP1,1,Alkorta.Aranburu2012
MGC17330,1,Alkorta.Aranburu2012
MT1G,1,Alkorta.Aranburu2012
OR2K2,1,Alkorta.Aranburu2012
PITX2,1,Alkorta.Aranburu2012
S100A3,1,Alkorta.Aranburu2012
SCARF2,1,Alkorta.Aranburu2012
WDR21B,1,Alkorta.Aranburu2012
PHLDA3,1,Alkorta.Aranburu2012
TMEM33,1,Alkorta.Aranburu2012
C4orf17,1,Alkorta.Aranburu2012
LOC376693,1,Alkorta.Aranburu2012
ADH4,1,Alkorta.Aranburu2012
TNNI1,1,Alkorta.Aranburu2012
LAD1,1,Alkorta.Aranburu2012
LOC72985,1,Alkorta.Aranburu2012
DLC1,1,Sheinfeldt2012
DNAJC19,1,Sheinfeldt2012
FXR1,1,Sheinfeldt2012
PION,1,Sheinfeldt2012
USP14,1,Sheinfeldt2012
THOC1,1,Sheinfeldt2012
ZNF462,1,Sheinfeldt2012
ABCA9,1,Sheinfeldt2012
ABCA6,1,Sheinfeldt2012
ABCA10,1,Sheinfeldt2012
ACACA,1,Sheinfeldt2012
C17orf78,1,Sheinfeldt2012
TADA2A,1,Sheinfeldt2012
NPHP3,1,Sheinfeldt2012
DNAJC13,1,Sheinfeldt2012
CCRL1,1,Sheinfeldt2012
ACADM,1,Sheinfeldt2012
RABGGTB,1,Sheinfeldt2012
MSH4,1,Sheinfeldt2012
ACER1,1,Sheinfeldt2012
CLPP,1,Sheinfeldt2012
ALKBH7,1,Sheinfeldt2012
PSPN,1,Sheinfeldt2012
GTF2F1,1,Sheinfeldt2012
KHSRP,1,Sheinfeldt2012
SLC25A41,1,Sheinfeldt2012
SLC25A23,1,Sheinfeldt2012
CRB3,1,Sheinfeldt2012
DENND1C,1,Sheinfeldt2012
ACO1,1,Sheinfeldt2012
DDX58,1,Sheinfeldt2012
TOPORS,1,Sheinfeldt2012
NDUFB6,1,Sheinfeldt2012
ACPL2,1,Sheinfeldt2012
ZBTB38,1,Sheinfeldt2012
PPIP5K1,1,Sheinfeldt2012
ADAM30,1,Sheinfeldt2012
NOTCH2,1,Sheinfeldt2012
ALDH1A1,1,Sheinfeldt2012
ANAPC16,1,Sheinfeldt2012
DNAJB12,1,Sheinfeldt2012
ANKRD32,1,Sheinfeldt2012
ANKRD9,1,Sheinfeldt2012
ANTXR1,1,Sheinfeldt2012
GFPT1,1,Sheinfeldt2012
DDX60L,1,Sheinfeldt2012
AOAH,1,Sheinfeldt2012
APOBEC3C,1,Sheinfeldt2012
APOBEC3D,1,Sheinfeldt2012
APOBEC3F,1,Sheinfeldt2012
APOBEC3H,1,Sheinfeldt2012
CBX7,1,Sheinfeldt2012
ARHGAP33,1,Sheinfeldt2012
PRODH2,1,Sheinfeldt2012
NPHS1,1,Sheinfeldt2012
COX6B1,1,Sheinfeldt2012
UPK1A,1,Sheinfeldt2012
ZBTB32,1,Sheinfeldt2012
TMEM149,1,Sheinfeldt2012
U2AF1L4,1,Sheinfeldt2012
PSENEN,1,Sheinfeldt2012
LIN37,1,Sheinfeldt2012
HSPB6,1,Sheinfeldt2012
C19orf55,1,Sheinfeldt2012
ARHGEF2,1,Sheinfeldt2012
SSR2,1,Sheinfeldt2012
UBQLN4,1,Sheinfeldt2012
LAMTOR2,1,Sheinfeldt2012
RAB25,1,Sheinfeldt2012
MEX3A,1,Sheinfeldt2012
LMSEMA4A,1,Sheinfeldt2012
ARL8B,1,Sheinfeldt2012
ARRDC4,1,Sheinfeldt2012
ASCC3,1,Sheinfeldt2012
TRIM32,1,Sheinfeldt2012
ATF2,1,Sheinfeldt2012
ATP5G3,1,Sheinfeldt2012
AIM1,1,Sheinfeldt2012
AVPR1B,1,Sheinfeldt2012
C1orf186,1,Sheinfeldt2012
CTSE,1,Sheinfeldt2012
AXIN2,1,Sheinfeldt2012
GRIK1,1,Sheinfeldt2012
NCRNA00258,1,Sheinfeldt2012
BCL11A,1,Sheinfeldt2012
BLM,1,Sheinfeldt2012
FURIN,1,Sheinfeldt2012
FES,1,Sheinfeldt2012
MAN2A2,1,Sheinfeldt2012
UNC45A,1,Sheinfeldt2012
RCCD1,1,Sheinfeldt2012
BLNK,1,Sheinfeldt2012
DNTT,1,Sheinfeldt2012
OPALIN,1,Sheinfeldt2012
TLL2,1,Sheinfeldt2012
BRI3,1,Sheinfeldt2012
C10orf11,1,Sheinfeldt2012
C10orf126,1,Sheinfeldt2012
C11orf90,1,Sheinfeldt2012
MED17,1,Sheinfeldt2012
C15orf26,1,Sheinfeldt2012
IL16,1,Sheinfeldt2012
RAB40C,1,Sheinfeldt2012
FAM173A,1,Sheinfeldt2012
C16orf62,1,Sheinfeldt2012
C16orf88,1,Sheinfeldt2012
IQCK,1,Sheinfeldt2012
C20orf112,1,Sheinfeldt2012
C22orf34,1,Sheinfeldt2012
BRD1,1,Sheinfeldt2012
C6orf72,1,Sheinfeldt2012
C7orf10,1,Sheinfeldt2012
C7orf71,1,Sheinfeldt2012
SKAP2,1,Sheinfeldt2012
C9orf114,1,Sheinfeldt2012
CCBL1,1,Sheinfeldt2012
LRRC8A,1,Sheinfeldt2012
PHYHD1,1,Sheinfeldt2012
DOLK,1,Sheinfeldt2012
NUP188,1,Sheinfeldt2012
C9orf170,1,Sheinfeldt2012
CA6,1,Sheinfeldt2012
SLC2A7,1,Sheinfeldt2012
SLC2A5,1,Sheinfeldt2012
GPR157,1,Sheinfeldt2012
CAB39L,1,Sheinfeldt2012
SETDB2,1,Sheinfeldt2012
PHF11,1,Sheinfeldt2012
CABP1,1,Sheinfeldt2012
MLEC,1,Sheinfeldt2012
UNC119B,1,Sheinfeldt2012
ACADS,1,Sheinfeldt2012
VAMP3,1,Sheinfeldt2012
PER3,1,Sheinfeldt2012
UTS2,1,Sheinfeldt2012
TNFRSF9,1,Sheinfeldt2012
GPR172B,1,Sheinfeldt2012
ZFP3,1,Sheinfeldt2012
ZNF232,1,Sheinfeldt2012
USP6,1,Sheinfeldt2012
ZNF594,1,Sheinfeldt2012
CCDC111,1,Sheinfeldt2012
MLF1IP,1,Sheinfeldt2012
CAST,1,Sheinfeldt2012
CBX3,1,Sheinfeldt2012
SNX10,1,Sheinfeldt2012
CCDC109A,1,Sheinfeldt2012
OIT3,1,Sheinfeldt2012
PLA2G12B,1,Sheinfeldt2012
CCDC39,1,Sheinfeldt2012
CCNDBP1,1,Sheinfeldt2012
EPB42,1,Sheinfeldt2012
CD44,1,Sheinfeldt2012
SLC1A2,1,Sheinfeldt2012
POGLUT1,1,Sheinfeldt2012
ARHGAP31,1,Sheinfeldt2012
CD96,1,Sheinfeldt2012
PLCXD2,1,Sheinfeldt2012
PHLDB2,1,Sheinfeldt2012
ZBED2,1,Sheinfeldt2012
CDH10,1,Sheinfeldt2012
CDH12,1,Sheinfeldt2012
C10orf105,1,Sheinfeldt2012
PSAP,1,Sheinfeldt2012
CELF2,1,Sheinfeldt2012
C10orf31,1,Sheinfeldt2012
USP6NL,1,Sheinfeldt2012
CHST3,1,Sheinfeldt2012
SPOCK2,1,Sheinfeldt2012
ASCC1,1,Sheinfeldt2012
CLASP2,1,Sheinfeldt2012
DEXI,1,Sheinfeldt2012
CLSTN2,1,Sheinfeldt2012
COL11A1,1,Sheinfeldt2012
B3GNT2,1,Sheinfeldt2012
CREB3L2,1,Sheinfeldt2012
DGKI,1,Sheinfeldt2012
VIM,1,Sheinfeldt2012
SLC25A27,1,Sheinfeldt2012
TDRD6,1,Sheinfeldt2012
CYTIP,1,Sheinfeldt2012
ACVR1C,1,Sheinfeldt2012
DAGLB,1,Sheinfeldt2012
KDELR2,1,Sheinfeldt2012
GRID2IP,1,Sheinfeldt2012
ZDHHC4,1,Sheinfeldt2012
C7orf26,1,Sheinfeldt2012
DAPK1,1,Sheinfeldt2012
PLRG1,1,Sheinfeldt2012
TIGD1L2,1,Sheinfeldt2012
DENND5B,1,Sheinfeldt2012
DIAPH3,1,Sheinfeldt2012
DNAI2,1,Sheinfeldt2012
KIF19,1,Sheinfeldt2012
BTBD17,1,Sheinfeldt2012
GPR142,1,Sheinfeldt2012
GPRC5C,1,Sheinfeldt2012
CD300A,1,Sheinfeldt2012
DOCK1,1,Sheinfeldt2012
FAM196A,1,Sheinfeldt2012
DOCK4,1,Sheinfeldt2012
KANK1,1,Sheinfeldt2012
EFHA2,1,Sheinfeldt2012
ZDHHC2,1,Sheinfeldt2012
CNOT7,1,Sheinfeldt2012
VPS37A,1,Sheinfeldt2012
EFNB2,1,Sheinfeldt2012
ARGLU1,1,Sheinfeldt2012
EIF3F,1,Sheinfeldt2012
TUB,1,Sheinfeldt2012
RIC3,1,Sheinfeldt2012
EIF4E3,1,Sheinfeldt2012
GPR27,1,Sheinfeldt2012
PROK2,1,Sheinfeldt2012
WBP4,1,Sheinfeldt2012
KBTBD6,1,Sheinfeldt2012
KBTBD7,1,Sheinfeldt2012
MTRF1,1,Sheinfeldt2012
ELSPBP1,1,Sheinfeldt2012
CABP5,1,Sheinfeldt2012
PLA2G4C,1,Sheinfeldt2012
LIG1,1,Sheinfeldt2012
C19orf68,1,Sheinfeldt2012
CARD8,1,Sheinfeldt2012
SULT2A1,1,Sheinfeldt2012
BSPH1,1,Sheinfeldt2012
EML5,1,Sheinfeldt2012
EPB41L4A,1,Sheinfeldt2012
EXOC3L4,1,Sheinfeldt2012
TNFAIP2,1,Sheinfeldt2012
EYA1,1,Sheinfeldt2012
FAM107A,1,Sheinfeldt2012
FAM3D,1,Sheinfeldt2012
C3orf67,1,Sheinfeldt2012
FAM123A,1,Sheinfeldt2012
MTMR6,1,Sheinfeldt2012
NUPL1,1,Sheinfeldt2012
FAM135B,1,Sheinfeldt2012
COL22A1,1,Sheinfeldt2012
FAM159A,1,Sheinfeldt2012
C1orf163,1,Sheinfeldt2012
ZYG11B,1,Sheinfeldt2012
FAM19A4,1,Sheinfeldt2012
C3orf64,1,Sheinfeldt2012
TMF1,1,Sheinfeldt2012
UBA3,1,Sheinfeldt2012
FAM200A,1,Sheinfeldt2012
ZNF655,1,Sheinfeldt2012
ZNF789,1,Sheinfeldt2012
ZNF394,1,Sheinfeldt2012
PTCD1,1,Sheinfeldt2012
ZKSCAN5,1,Sheinfeldt2012
CPSF4,1,Sheinfeldt2012
ATP5J2-PTCD1,1,Sheinfeldt2012
ZNF498,1,Sheinfeldt2012
ATP5J2,1,Sheinfeldt2012
FAM46A,1,Sheinfeldt2012
FARSB,1,Sheinfeldt2012
MOGAT1,1,Sheinfeldt2012
FAT3,1,Sheinfeldt2012
FCRL6,1,Sheinfeldt2012
SLAMF8,1,Sheinfeldt2012
C1orf204,1,Sheinfeldt2012
VSIG8,1,Sheinfeldt2012
CCDC19,1,Sheinfeldt2012
TAGLN2,1,Sheinfeldt2012
IGSF9,1,Sheinfeldt2012
SLAMF9,1,Sheinfeldt2012
FIG4,1,Sheinfeldt2012
AKD1,1,Sheinfeldt2012
ATP6V1F,1,Sheinfeldt2012
TNPO3,1,Sheinfeldt2012
FOXN3,1,Sheinfeldt2012
FOXRED2,1,Sheinfeldt2012
EIF3D,1,Sheinfeldt2012
CACNG2,1,Sheinfeldt2012
FRMD3,1,Sheinfeldt2012
C9orf103,1,Sheinfeldt2012
FRMD4A,1,Sheinfeldt2012
FRMD6,1,Sheinfeldt2012
FSTL3,1,Sheinfeldt2012
PRSSL1,1,Sheinfeldt2012
PALM,1,Sheinfeldt2012
C19orf21,1,Sheinfeldt2012
PTBP1,1,Sheinfeldt2012
MIR3187,1,Sheinfeldt2012
AZU1,1,Sheinfeldt2012
PRTN3,1,Sheinfeldt2012
ELANE,1,Sheinfeldt2012
CFD,1,Sheinfeldt2012
MED16,1,Sheinfeldt2012
GABBR2,1,Sheinfeldt2012
GJC3,1,Sheinfeldt2012
CYP3A43,1,Sheinfeldt2012
AZGP1,1,Sheinfeldt2012
TRIM4,1,Sheinfeldt2012
OR2AE1,1,Sheinfeldt2012
GLIPR1,1,Sheinfeldt2012
KRR1,1,Sheinfeldt2012
GM2A,1,Sheinfeldt2012
SLC36A2,1,Sheinfeldt2012
SLC36A1,1,Sheinfeldt2012
CD300LB,1,Sheinfeldt2012
CD300C,1,Sheinfeldt2012
TNIP1,1,Sheinfeldt2012
ANXA6,1,Sheinfeldt2012
GRB10,1,Sheinfeldt2012
GRHL2,1,Sheinfeldt2012
GRIK4,1,Sheinfeldt2012
GRM5,1,Sheinfeldt2012
HS3ST6,1,Sheinfeldt2012
SEPX1,1,Sheinfeldt2012
RPL3L,1,Sheinfeldt2012
RPS2,1,Sheinfeldt2012
SYNGR3,1,Sheinfeldt2012
HEATR7B1,1,Sheinfeldt2012
HJURP,1,Sheinfeldt2012
TRPM8,1,Sheinfeldt2012
HECW1,1,Sheinfeldt2012
HHAT,1,Sheinfeldt2012
SPP2,1,Sheinfeldt2012
HMGA2,1,Sheinfeldt2012
HS3ST4,1,Sheinfeldt2012
HYDIN,1,Sheinfeldt2012
KIDINS220,1,Sheinfeldt2012
IFI16,1,Sheinfeldt2012
AIM2,1,Sheinfeldt2012
IGLL1,1,Sheinfeldt2012
C22orf43,1,Sheinfeldt2012
IGSF21,1,Sheinfeldt2012
IL13,1,Sheinfeldt2012
IL4,1,Sheinfeldt2012
KIF3A,1,Sheinfeldt2012
CCNI2,1,Sheinfeldt2012
8-Sep,1,Sheinfeldt2012
ANKRD43,1,Sheinfeldt2012
SHROOM1,1,Sheinfeldt2012
GDF9,1,Sheinfeldt2012
UQCRQ,1,Sheinfeldt2012
LEAP2,1,Sheinfeldt2012
AFF4,1,Sheinfeldt2012
INPP4A,1,Sheinfeldt2012
C2orf64,1,Sheinfeldt2012
UNC50,1,Sheinfeldt2012
MGAT4A,1,Sheinfeldt2012
IQCA1,1,Sheinfeldt2012
CXCR7,1,Sheinfeldt2012
IRS1,1,Sheinfeldt2012
ISPD,1,Sheinfeldt2012
SOSTDC1,1,Sheinfeldt2012
KCNE4,1,Sheinfeldt2012
KCNG2,1,Sheinfeldt2012
PQLC1,1,Sheinfeldt2012
HSBP1L1,1,Sheinfeldt2012
TXNL4A,1,Sheinfeldt2012
KCNH7,1,Sheinfeldt2012
KCNIP1,1,Sheinfeldt2012
KIAA0087,1,Sheinfeldt2012
KIF16B,1,Sheinfeldt2012
KIF20B,1,Sheinfeldt2012
KL,1,Sheinfeldt2012
STARD13,1,Sheinfeldt2012
KSR2,1,Sheinfeldt2012
LASS6,1,Sheinfeldt2012
LGI3,1,Sheinfeldt2012
BMP1,1,Sheinfeldt2012
PHYHIP,1,Sheinfeldt2012
POLR3D,1,Sheinfeldt2012
PIWIL2,1,Sheinfeldt2012
ENTPD4,1,Sheinfeldt2012
LRFN5,1,Sheinfeldt2012
LRRC50,1,Sheinfeldt2012
TAF1C,1,Sheinfeldt2012
ADAD2,1,Sheinfeldt2012
KCNG4,1,Sheinfeldt2012
WFDC1,1,Sheinfeldt2012
HSDL1,1,Sheinfeldt2012
FAM73B,1,Sheinfeldt2012
DOLPP1,1,Sheinfeldt2012
CRAT,1,Sheinfeldt2012
MAB21L3,1,Sheinfeldt2012
MAP1B,1,Sheinfeldt2012
KCNJ12,1,Sheinfeldt2012
IL1R2,1,Sheinfeldt2012
MAP9,1,Sheinfeldt2012
CD180,1,Sheinfeldt2012
MKX,1,Sheinfeldt2012
ARMC4,1,Sheinfeldt2012
MLLT1,1,Sheinfeldt2012
MON2,1,Sheinfeldt2012
C12orf61,1,Sheinfeldt2012
PPM1H,1,Sheinfeldt2012
CTSH,1,Sheinfeldt2012
RASGRF1,1,Sheinfeldt2012
MPDZ,1,Sheinfeldt2012
ASB17,1,Sheinfeldt2012
PRR25,1,Sheinfeldt2012
LMF1,1,Sheinfeldt2012
MSRA,1,Sheinfeldt2012
PRSS55,1,Sheinfeldt2012
MTDH,1,Sheinfeldt2012
ATP8A2,1,Sheinfeldt2012
MTR,1,Sheinfeldt2012
MUC13,1,Sheinfeldt2012
HEG1,1,Sheinfeldt2012
SLC12A8,1,Sheinfeldt2012
MYL12A,1,Sheinfeldt2012
MYL12B,1,Sheinfeldt2012
TGIF1,1,Sheinfeldt2012
MYO5A,1,Sheinfeldt2012
MYO5C,1,Sheinfeldt2012
GNB5,1,Sheinfeldt2012
MYSM1,1,Sheinfeldt2012
JUN,1,Sheinfeldt2012
NAA38,1,Sheinfeldt2012
ANKRD7,1,Sheinfeldt2012
NAV2,1,Sheinfeldt2012
NCOA2,1,Sheinfeldt2012
NIPSNAP3A,1,Sheinfeldt2012
NIPSNAP3B,1,Sheinfeldt2012
NMBR,1,Sheinfeldt2012
NT5DC1,1,Sheinfeldt2012
COL10A1,1,Sheinfeldt2012
TSPYL4,1,Sheinfeldt2012
DSE,1,Sheinfeldt2012
TSPYL1,1,Sheinfeldt2012
NTNG1,1,Sheinfeldt2012
NUBPL,1,Sheinfeldt2012
PPP2R4,1,Sheinfeldt2012
NXPH3,1,Sheinfeldt2012
SPOP,1,Sheinfeldt2012
SLC35B1,1,Sheinfeldt2012
FAM117A,1,Sheinfeldt2012
OBFC2A,1,Sheinfeldt2012
OR1M1,1,Sheinfeldt2012
OR7G2,1,Sheinfeldt2012
OR7G1,1,Sheinfeldt2012
OR7G3,1,Sheinfeldt2012
ZNF317,1,Sheinfeldt2012
OR7D2,1,Sheinfeldt2012
OR7D4,1,Sheinfeldt2012
OR7E24,1,Sheinfeldt2012
OR2AK2,1,Sheinfeldt2012
OR2L5,1,Sheinfeldt2012
OR2L2,1,Sheinfeldt2012
OR2M5,1,Sheinfeldt2012
OR2M2,1,Sheinfeldt2012
OR2M3,1,Sheinfeldt2012
PAPOLA,1,Sheinfeldt2012
PCGF3,1,Sheinfeldt2012
CPLX1,1,Sheinfeldt2012
GAK,1,Sheinfeldt2012
ATP5I,1,Sheinfeldt2012
MYL5,1,Sheinfeldt2012
MFSD7,1,Sheinfeldt2012
PDK4,1,Sheinfeldt2012
ASB4,1,Sheinfeldt2012
PEX26,1,Sheinfeldt2012
TUBA8,1,Sheinfeldt2012
USP18,1,Sheinfeldt2012
PKP2,1,Sheinfeldt2012
PLEKHG6,1,Sheinfeldt2012
TNFRSF1A,1,Sheinfeldt2012
SCNN1A,1,Sheinfeldt2012
LTBR,1,Sheinfeldt2012
CD27,1,Sheinfeldt2012
TAPBPL,1,Sheinfeldt2012
VAMP1,1,Sheinfeldt2012
MRPL51,1,Sheinfeldt2012
NCAPD2,1,Sheinfeldt2012
LRAT,1,Sheinfeldt2012
MYCL1,1,Sheinfeldt2012
DYNC1H1,1,Sheinfeldt2012
PRDM11,1,Sheinfeldt2012
SYT13,1,Sheinfeldt2012
PRDM9,1,Sheinfeldt2012
PREP,1,Sheinfeldt2012
PRPSAP1,1,Sheinfeldt2012
SPHK1,1,Sheinfeldt2012
UBE2O,1,Sheinfeldt2012
AANAT,1,Sheinfeldt2012
RHBDF2,1,Sheinfeldt2012
PRCD,1,Sheinfeldt2012
PTH2R,1,Sheinfeldt2012
ZC3H14,1,Sheinfeldt2012
PTPRJ,1,Sheinfeldt2012
PTPRZ1,1,Sheinfeldt2012
RAD50,1,Sheinfeldt2012
TOP2B,1,Sheinfeldt2012
TRAF3,1,Sheinfeldt2012
AMN,1,Sheinfeldt2012
LMO1,1,Sheinfeldt2012
RIPK1,1,Sheinfeldt2012
BPHL,1,Sheinfeldt2012
TUBB2A,1,Sheinfeldt2012
TUBB2B,1,Sheinfeldt2012
PSMG4,1,Sheinfeldt2012
SLC22A23,1,Sheinfeldt2012
RNF216,1,Sheinfeldt2012
OCM,1,Sheinfeldt2012
RP1L1,1,Sheinfeldt2012
C8orf74,1,Sheinfeldt2012
RPL38,1,Sheinfeldt2012
TTYH2,1,Sheinfeldt2012
SARS2,1,Sheinfeldt2012
FBXO17,1,Sheinfeldt2012
FBXO27,1,Sheinfeldt2012
SEMA6D,1,Sheinfeldt2012
SH2D4A,1,Sheinfeldt2012
CSGALNACT1,1,Sheinfeldt2012
SH3BP5L,1,Sheinfeldt2012
ZNF672,1,Sheinfeldt2012
ZNF692,1,Sheinfeldt2012
PGBD2,1,Sheinfeldt2012
SLC16A9,1,Sheinfeldt2012
C9orf68,1,Sheinfeldt2012
SLC25A13,1,Sheinfeldt2012
DYNC1I1,1,Sheinfeldt2012
SLC25A16,1,Sheinfeldt2012
TET1,1,Sheinfeldt2012
CCAR1,1,Sheinfeldt2012
SLC26A7,1,Sheinfeldt2012
SLC26A8,1,Sheinfeldt2012
MAPK14,1,Sheinfeldt2012
MAPK13,1,Sheinfeldt2012
FAT2,1,Sheinfeldt2012
SLC45A1,1,Sheinfeldt2012
RERE,1,Sheinfeldt2012
SLITRK1,1,Sheinfeldt2012
SMARCA2,1,Sheinfeldt2012
SMYD2,1,Sheinfeldt2012
SNRPN,1,Sheinfeldt2012
SNURF,1,Sheinfeldt2012
SNX8,1,Sheinfeldt2012
EIF3B,1,Sheinfeldt2012
CHST12,1,Sheinfeldt2012
SORCS1,1,Sheinfeldt2012
VWC2L,1,Sheinfeldt2012
SPATA8,1,Sheinfeldt2012
EMX1,1,Sheinfeldt2012
SFXN5,1,Sheinfeldt2012
STEAP1,1,Sheinfeldt2012
SUMF1,1,Sheinfeldt2012
LRRN1,1,Sheinfeldt2012
TAB2,1,Sheinfeldt2012
SUMO4,1,Sheinfeldt2012
TACR1,1,Sheinfeldt2012
TAF1D,1,Sheinfeldt2012
C11orf54,1,Sheinfeldt2012
TBC1D30,1,Sheinfeldt2012
TDRD3,1,Sheinfeldt2012
TECPR2,1,Sheinfeldt2012
TECTA,1,Sheinfeldt2012
TBCEL,1,Sheinfeldt2012
TET3,1,Sheinfeldt2012
BOLA3,1,Sheinfeldt2012
MOBKL1B,1,Sheinfeldt2012
MTHFD2,1,Sheinfeldt2012
SLC4A5,1,Sheinfeldt2012
TEX15,1,Sheinfeldt2012
PURG,1,Sheinfeldt2012
WRN,1,Sheinfeldt2012
TIFAB,1,Sheinfeldt2012
TM9SF2,1,Sheinfeldt2012
CLYBL,1,Sheinfeldt2012
TMC1,1,Sheinfeldt2012
TMCC3,1,Sheinfeldt2012
TMCO5A,1,Sheinfeldt2012
TMEM232,1,Sheinfeldt2012
TMEM62,1,Sheinfeldt2012
TMEM66,1,Sheinfeldt2012
LEPROTL1,1,Sheinfeldt2012
TNP1,1,Sheinfeldt2012
RUFY4,1,Sheinfeldt2012
CXCR2,1,Sheinfeldt2012
CXCR1,1,Sheinfeldt2012
CATSPER2,1,Sheinfeldt2012
TPK1,1,Sheinfeldt2012
CDC42BPB,1,Sheinfeldt2012
TRIM44,1,Sheinfeldt2012
TSSK1B,1,Sheinfeldt2012
TTC12,1,Sheinfeldt2012
ANKK1,1,Sheinfeldt2012
TYRP1,1,Sheinfeldt2012
C9orf150,1,Sheinfeldt2012
UACA,1,Sheinfeldt2012
LARP6,1,Sheinfeldt2012
LRRC49,1,Sheinfeldt2012
UBE2E2,1,Sheinfeldt2012
UBE2H,1,Sheinfeldt2012
ZC3HC1,1,Sheinfeldt2012
KLHDC10,1,Sheinfeldt2012
UMOD,1,Sheinfeldt2012
PDILT,1,Sheinfeldt2012
ACSM5,1,Sheinfeldt2012
ACSM2A,1,Sheinfeldt2012
UPK3B,1,Sheinfeldt2012
MYOZ1,1,Sheinfeldt2012
AGAP5,1,Sheinfeldt2012
C10orf102,1,Sheinfeldt2012
SEC24C,1,Sheinfeldt2012
VCL,1,Sheinfeldt2012
AP3M1,1,Sheinfeldt2012
VIPR2,1,Sheinfeldt2012
WDR25,1,Sheinfeldt2012
BEGAIN,1,Sheinfeldt2012
C14orf70,1,Sheinfeldt2012
WDR27,1,Sheinfeldt2012
C6orf120,1,Sheinfeldt2012
PHF10,1,Sheinfeldt2012
TCTE3,1,Sheinfeldt2012
C6orf70,1,Sheinfeldt2012
WFDC10B,1,Sheinfeldt2012
WFDC13,1,Sheinfeldt2012
SPINT4,1,Sheinfeldt2012
DNTTIP1,1,Sheinfeldt2012
UBE2C,1,Sheinfeldt2012
WFDC11,1,Sheinfeldt2012
TNNC2,1,Sheinfeldt2012
WFDC3,1,Sheinfeldt2012
WFDC9,1,Sheinfeldt2012
WFDC10A,1,Sheinfeldt2012
WISP1,1,Sheinfeldt2012
TUBE1,1,Sheinfeldt2012
C6orf225,1,Sheinfeldt2012
LAMA4,1,Sheinfeldt2012
YIF1B,1,Sheinfeldt2012
KCNK6,1,Sheinfeldt2012
CATSPERG,1,Sheinfeldt2012
GGN,1,Sheinfeldt2012
SPRED3,1,Sheinfeldt2012
FAM98C,1,Sheinfeldt2012
RASGRP4,1,Sheinfeldt2012
ZBED4,1,Sheinfeldt2012
ALG12,1,Sheinfeldt2012
CRELD2,1,Sheinfeldt2012
PIM3,1,Sheinfeldt2012
IL17REL,1,Sheinfeldt2012
ZBTB10,1,Sheinfeldt2012
ZDHHC11B,1,Sheinfeldt2012
CEP72,1,Sheinfeldt2012
TPPP,1,Sheinfeldt2012
ZDHHC11,1,Sheinfeldt2012
ZNF223,1,Sheinfeldt2012
ZNF284,1,Sheinfeldt2012
ZNF224,1,Sheinfeldt2012
ZNF225,1,Sheinfeldt2012
ZNF234,1,Sheinfeldt2012
ZNF226,1,Sheinfeldt2012
ZNF227,1,Sheinfeldt2012
ZNF233,1,Sheinfeldt2012
ZNF235,1,Sheinfeldt2012
ZFP112,1,Sheinfeldt2012
ZNF285,1,Sheinfeldt2012
ZNF33B,1,Sheinfeldt2012
BMS1,1,Sheinfeldt2012
ZNF385D,1,Sheinfeldt2012
ZNF479,1,Sheinfeldt2012
NLRP3,1,Sheinfeldt2012
OR2B11,1,Sheinfeldt2012
C1orf150,1,Sheinfeldt2012
ZNF530,1,Sheinfeldt2012
ZNF134,1,Sheinfeldt2012
ZNF211,1,Sheinfeldt2012
ZSCAN4,1,Sheinfeldt2012
ZNF551,1,Sheinfeldt2012
ZNF154,1,Sheinfeldt2012
ZNF671,1,Sheinfeldt2012
ZNF776,1,Sheinfeldt2012
ZNF586,1,Sheinfeldt2012
ZNF562,1,Sheinfeldt2012
ZNF812,1,Sheinfeldt2012
ZNF846,1,Sheinfeldt2012
FBXL12,1,Sheinfeldt2012
UBL5,1,Sheinfeldt2012
OLFM2,1,Sheinfeldt2012
APLP2,1,Sheinfeldt2012
NFRKB,1,Sheinfeldt2012
PRDM10,1,Sheinfeldt2012
C14orf126,1,Sheinfeldt2012
GPR33,1,Sheinfeldt2012
COMMD7,1,Sheinfeldt2012
CTAGE1,1,Sheinfeldt2012
GLCCI1,1,Sheinfeldt2012
ICA1,1,Sheinfeldt2012
PKNOX2,1,Sheinfeldt2012
FEZ1,1,Sheinfeldt2012
TMEM218,1,Sheinfeldt2012
AATF,1,Sheinfeldt2012
ABCA8,1,Sheinfeldt2012
ADAM18,1,Sheinfeldt2012
ADSS,1,Sheinfeldt2012
ZCCHC10,1,Sheinfeldt2012
